match_id,tournament,match_no,date,kickoff_source_time,kickoff_timezone,kickoff_utc,source_url,stage,group_name,team1,team2,team1_code,team2_code,team1_id,team2_id,neutral,team1_ht,team2_ht,team1_ft,team2_ft,went_extra_time,team1_et,team2_et,team1_extra_time_goals,team2_extra_time_goals,team1_final,team2_final,team1_pens,team2_pens,winner,venue
2018001,2018,1,2018-06-14,18:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 1,Group A,Russia,Saudi Arabia,RUS,KSA,10007,31,0,2,0,5,0,0,,,,,5,0,,,Russia,"Luzhniki Stadium, Moscow"
2018002,2018,2,2018-06-15,17:00 UTC+5,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 2,Group A,Egypt,Uruguay,EGY,URU,26,32,1,0,0,0,1,0,,,,,0,1,,,Uruguay,"Ekaterinburg Arena, Ekaterinburg"
2018007,2018,7,2018-06-15,18:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 2,Group B,Morocco,Iran,MAR,IRN,10,27,1,0,0,0,1,0,,,,,0,1,,,Iran,"Saint Petersburg Stadium, Saint Petersburg"
2018008,2018,8,2018-06-15,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 2,Group B,Portugal,Spain,POR,ESP,41,29,1,2,1,3,3,0,,,,,3,3,,,Draw,"Fisht Stadium, Sochi"
2018013,2018,13,2018-06-16,13:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 3,Group C,France,Australia,FRA,AUS,33,15,1,0,0,2,1,0,,,,,2,1,,,France,"Kazan Arena, Kazan"
2018014,2018,14,2018-06-16,19:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 3,Group C,Peru,Denmark,PER,DEN,10005,10002,1,0,0,0,1,0,,,,,0,1,,,Denmark,"Mordovia Arena, Saransk"
2018019,2018,19,2018-06-16,16:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 3,Group D,Argentina,Iceland,ARG,ISL,37,10003,1,1,1,1,1,0,,,,,1,1,,,Draw,"Spartak Stadium, Moscow"
2018020,2018,20,2018-06-16,21:00 UTC+2,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 3,Group D,Croatia,Nigeria,CRO,NGA,46,10004,1,1,0,2,0,0,,,,,2,0,,,Croatia,"Kaliningrad Stadium, Kaliningrad"
2018025,2018,25,2018-06-17,16:00 UTC+4,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 4,Group E,Costa Rica,Serbia,CRC,SRB,10001,10008,1,0,0,0,1,0,,,,,0,1,,,Serbia,"Samara Arena, Samara"
2018026,2018,26,2018-06-17,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 4,Group E,Brazil,Switzerland,BRA,SUI,9,8,1,1,0,1,1,0,,,,,1,1,,,Draw,"Rostov Arena, Rostov-on-Don"
2018031,2018,31,2018-06-17,18:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 4,Group F,Germany,Mexico,GER,MEX,17,1,1,0,1,0,1,0,,,,,0,1,,,Mexico,"Luzhniki Stadium, Moscow"
2018032,2018,32,2018-06-18,15:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 5,Group F,Sweden,South Korea,SWE,KOR,23,3,1,0,0,1,0,0,,,,,1,0,,,Sweden,"Nizhny Novgorod Stadium, Nizhny Novgorod"
2018037,2018,37,2018-06-18,18:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 5,Group G,Belgium,Panama,BEL,PAN,25,48,1,0,0,3,0,0,,,,,3,0,,,Belgium,"Fisht Stadium, Sochi"
2018038,2018,38,2018-06-18,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 5,Group G,Tunisia,England,TUN,ENG,24,45,1,1,1,1,2,0,,,,,1,2,,,England,"Volgograd Arena, Volgograd"
2018003,2018,3,2018-06-19,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 6,Group A,Russia,Egypt,RUS,EGY,10007,26,0,0,0,3,1,0,,,,,3,1,,,Russia,"Saint Petersburg Stadium, Saint Petersburg"
2018043,2018,43,2018-06-19,15:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 6,Group H,Colombia,Japan,COL,JPN,44,22,1,1,1,1,2,0,,,,,1,2,,,Japan,"Mordovia Arena, Saransk"
2018044,2018,44,2018-06-19,18:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 6,Group H,Poland,Senegal,POL,SEN,10006,34,1,0,1,1,2,0,,,,,1,2,,,Senegal,"Spartak Stadium, Moscow"
2018004,2018,4,2018-06-20,18:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 7,Group A,Uruguay,Saudi Arabia,URU,KSA,32,31,1,1,0,1,0,0,,,,,1,0,,,Uruguay,"Rostov Arena, Rostov-on-Don"
2018009,2018,9,2018-06-20,15:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 7,Group B,Portugal,Morocco,POR,MAR,41,10,1,1,0,1,0,0,,,,,1,0,,,Portugal,"Luzhniki Stadium, Moscow"
2018010,2018,10,2018-06-20,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 7,Group B,Iran,Spain,IRN,ESP,27,29,1,0,0,0,1,0,,,,,0,1,,,Spain,"Kazan Arena, Kazan"
2018015,2018,15,2018-06-21,16:00 UTC+4,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 8,Group C,Denmark,Australia,DEN,AUS,10002,15,1,1,1,1,1,0,,,,,1,1,,,Draw,"Samara Arena, Samara"
2018016,2018,16,2018-06-21,20:00 UTC+5,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 8,Group C,France,Peru,FRA,PER,33,10005,1,1,0,1,0,0,,,,,1,0,,,France,"Ekaterinburg Arena, Ekaterinburg"
2018021,2018,21,2018-06-21,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 8,Group D,Argentina,Croatia,ARG,CRO,37,46,1,0,0,0,3,0,,,,,0,3,,,Croatia,"Nizhny Novgorod Stadium, Nizhny Novgorod"
2018022,2018,22,2018-06-22,18:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 9,Group D,Nigeria,Iceland,NGA,ISL,10004,10003,1,0,0,2,0,0,,,,,2,0,,,Nigeria,"Volgograd Arena, Volgograd"
2018027,2018,27,2018-06-22,15:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 9,Group E,Brazil,Costa Rica,BRA,CRC,9,10001,1,0,0,2,0,0,,,,,2,0,,,Brazil,"Saint Petersburg Stadium, Saint Petersburg"
2018028,2018,28,2018-06-22,20:00 UTC+2,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 9,Group E,Serbia,Switzerland,SRB,SUI,10008,8,1,1,0,1,2,0,,,,,1,2,,,Switzerland,"Kaliningrad Stadium, Kaliningrad"
2018033,2018,33,2018-06-23,18:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 10,Group F,South Korea,Mexico,KOR,MEX,3,1,1,0,1,1,2,0,,,,,1,2,,,Mexico,"Rostov Arena, Rostov-on-Don"
2018034,2018,34,2018-06-23,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 10,Group F,Germany,Sweden,GER,SWE,17,23,1,0,1,2,1,0,,,,,2,1,,,Germany,"Fisht Stadium, Sochi"
2018039,2018,39,2018-06-23,15:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 10,Group G,Belgium,Tunisia,BEL,TUN,25,24,1,3,1,5,2,0,,,,,5,2,,,Belgium,"Spartak Stadium, Moscow"
2018040,2018,40,2018-06-24,15:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 11,Group G,England,Panama,ENG,PAN,45,48,1,5,0,6,1,0,,,,,6,1,,,England,"Nizhny Novgorod Stadium, Nizhny Novgorod"
2018045,2018,45,2018-06-24,20:00 UTC+5,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 11,Group H,Japan,Senegal,JPN,SEN,22,34,1,1,1,2,2,0,,,,,2,2,,,Draw,"Ekaterinburg Arena, Ekaterinburg"
2018046,2018,46,2018-06-24,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 11,Group H,Poland,Colombia,POL,COL,10006,44,1,0,1,0,3,0,,,,,0,3,,,Colombia,"Kazan Arena, Kazan"
2018005,2018,5,2018-06-25,18:00 UTC+4,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 12,Group A,Uruguay,Russia,URU,RUS,32,10007,0,2,0,3,0,0,,,,,3,0,,,Uruguay,"Samara Arena, Samara"
2018006,2018,6,2018-06-25,17:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 12,Group A,Saudi Arabia,Egypt,KSA,EGY,31,26,1,1,1,2,1,0,,,,,2,1,,,Saudi Arabia,"Volgograd Arena, Volgograd"
2018011,2018,11,2018-06-25,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 12,Group B,Iran,Portugal,IRN,POR,27,41,1,0,1,1,1,0,,,,,1,1,,,Draw,"Mordovia Arena, Saransk"
2018012,2018,12,2018-06-25,20:00 UTC+2,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 12,Group B,Spain,Morocco,ESP,MAR,29,10,1,1,1,2,2,0,,,,,2,2,,,Draw,"Kaliningrad Stadium, Kaliningrad"
2018017,2018,17,2018-06-26,17:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 13,Group C,Denmark,France,DEN,FRA,10002,33,1,0,0,0,0,0,,,,,0,0,,,Draw,"Luzhniki Stadium, Moscow"
2018018,2018,18,2018-06-26,17:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 13,Group C,Australia,Peru,AUS,PER,15,10005,1,0,1,0,2,0,,,,,0,2,,,Peru,"Fisht Stadium, Sochi"
2018023,2018,23,2018-06-26,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 13,Group D,Nigeria,Argentina,NGA,ARG,10004,37,1,0,1,1,2,0,,,,,1,2,,,Argentina,"Saint Petersburg Stadium, Saint Petersburg"
2018024,2018,24,2018-06-26,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 13,Group D,Iceland,Croatia,ISL,CRO,10003,46,1,0,0,1,2,0,,,,,1,2,,,Croatia,"Rostov Arena, Rostov-on-Don"
2018029,2018,29,2018-06-27,21:00 UTC+3,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2018/worldcup.json,Matchday 14,Group E,Serbia,Brazil,SRB,BRA,10008,9,1,0,1,0,2,0,,,,,0,2,,,Brazil,"Spartak Stadium, Moscow"
